ID,SignupDate,Segment
330,2025-06-30,Family
331,2025-04-05,Premium
332,2025-04-09,Free
333,2025-04-26,Free
334,2025-06-09,Premium
335,2025-06-10,Premium
336,2025-03-08,Premium
337,2025-05-08,Free
338,2025-01-18,Free
339,2025-01-25,Free
340,2025-02-23,Premium
341,2025-02-27,Free
342,2025-03-08,Free
343,2025-04-14,Premium
344,2025-06-23,Corporate
345,2025-01-24,Free
346,2025-04-24,Free
347,2025-02-01,Premium
348,2025-06-24,Premium
349,2025-03-27,Free
350,2025-05-31,Corporate
351,2025-05-07,Family
352,2025-06-04,Free
353,2025-05-10,Free
354,2025-01-17,Free
355,2025-04-14,Premium
356,2025-06-10,Free
357,2025-05-17,Premium
358,2025-02-12,Premium
359,2025-06-25,Free
360,2025-02-08,Premium
361,2025-06-19,Corporate
362,2025-01-26,Free
363,2025-04-09,Free
364,2025-02-19,Free
365,2025-06-02,Family
366,2025-06-01,Corporate
367,2025-01-13,Free
368,2025-03-01,Premium
369,2025-05-15,Free
370,2025-02-26,Free
371,2025-02-05,Free
372,2025-06-22,Free
373,2025-01-20,Free
374,2025-03-06,Premium
375,2025-01-08,Free
376,2025-05-24,Family
377,2025-05-22,Free
378,2025-04-25,Free
379,2025-05-23,Free
380,2025-04-02,Premium
381,2025-04-08,Free
382,2025-03-07,Free
383,2025-02-01,Corporate
384,2025-03-27,Free
385,2025-02-20,Free
386,2025-06-02,Family
387,2025-03-04,Free
388,2025-05-05,Free
389,2025-05-30,Free
390,2025-02-27,Free
391,2025-02-27,Free
392,2025-03-27,Free
393,2025-02-18,Free
394,2025-06-29,Free
395,2025-06-19,Premium
396,2025-03-11,Free
397,2025-01-15,Free
398,2025-02-23,Family
399,2025-04-11,Premium
400,2025-01-08,Free
401,2025-02-22,Corporate
402,2025-03-01,Free
403,2025-04-18,Free
404,2025-01-05,Premium
405,2025-04-13,Free
406,2025-01-06,Free
407,2025-04-19,Free
408,2025-04-26,Free
409,2025-04-04,Free
410,2025-02-16,Family
411,2025-04-09,Free
412,2025-02-24,Family
413,2025-06-17,Premium
414,2025-02-21,Family
415,2025-05-24,Premium
416,2025-01-13,Premium
417,2025-04-24,Free
418,2025-05-04,Free
419,2025-04-16,Free
420,2025-06-07,Family
421,2025-05-27,Family
422,2025-05-25,Free
423,2025-04-30,Free
424,2025-03-04,Free
425,2025-01-19,Premium
426,2025-04-02,Free
427,2025-02-27,Premium
428,2025-03-31,Corporate
429,2025-04-27,Free
430,2025-03-03,Free
431,2025-01-23,Free
432,2025-05-07,Free
433,2025-05-17,Free
434,2025-05-20,Free
435,2025-05-09,Family
436,2025-02-27,Free
437,2025-05-02,Free
438,2025-01-01,Family
439,2025-02-03,Premium
440,2025-04-06,Free
441,2025-05-06,Premium
442,2025-04-28,Free
443,2025-02-17,Premium
444,2025-03-30,Premium
445,2025-04-27,Premium
446,2025-05-09,Free
447,2025-01-16,Family
448,2025-03-10,Free
449,2025-01-22,Free
450,2025-04-03,Free
451,2025-03-17,Free
452,2025-06-03,Free
453,2025-05-24,Family
454,2025-06-28,Corporate
455,2025-03-27,Free
456,2025-01-29,Free
457,2025-03-10,Free
458,2025-02-16,Free
459,2025-04-04,Free
460,2025-05-24,Corporate
461,2025-06-25,Free
462,2025-03-26,Free
463,2025-02-08,Free
464,2025-04-10,Family
465,2025-02-02,Premium
466,2025-04-11,Corporate
467,2025-01-23,Premium
468,2025-01-10,Free
469,2025-03-10,Free
470,2025-04-10,Premium
471,2025-02-03,Free
472,2025-06-29,Premium
473,2025-05-18,Free
474,2025-05-27,Free
475,2025-04-06,Free
476,2025-01-01,Premium
477,2025-03-10,Premium
478,2025-01-04,Free
479,2025-01-16,Free
480,2025-01-24,Free
481,2025-03-21,Free
482,2025-01-02,Free
483,2025-05-08,Free
484,2025-06-09,Free
485,2025-03-25,Free
486,2025-06-01,Free
487,2025-05-20,Free
488,2025-06-27,Free
489,2025-06-12,Free
490,2025-05-04,Free
491,2025-02-02,Premium
492,2025-06-10,Free
493,2025-06-28,Free
494,2025-06-20,Free
495,2025-04-11,Premium
496,2025-01-12,Family
497,2025-03-08,Premium
498,2025-03-06,Premium
499,2025-06-10,Free
500,2025-06-17,Premium
501,2025-03-15,Premium
502,2025-02-12,Free
503,2025-02-13,Free
504,2025-01-29,Free
505,2025-05-21,Family
506,2025-01-12,Free
507,2025-04-05,Premium
508,2025-02-15,Free
509,2025-05-10,Free
510,2025-02-04,Free
511,2025-03-22,Free
512,2025-03-31,Family
513,2025-01-08,Premium
514,2025-04-03,Free
515,2025-06-03,Family
516,2025-03-31,Free
517,2025-06-11,Corporate
518,2025-04-25,Free
519,2025-04-15,Free
520,2025-05-15,Free
521,2025-02-27,Free
522,2025-04-24,Free
523,2025-03-16,Premium
524,2025-06-06,Family
525,2025-04-30,Premium
526,2025-06-13,Free
527,2025-01-21,Free
528,2025-06-13,Free
529,2025-05-18,Free
530,2025-04-11,Premium
531,2025-06-01,Free
532,2025-06-26,Free
533,2025-04-09,Free
534,2025-02-05,Corporate
535,2025-04-06,Free
536,2025-06-01,Free
537,2025-05-31,Free
538,2025-02-06,Free
539,2025-01-12,Free
540,2025-04-23,Free
541,2025-01-13,Premium
542,2025-01-23,Free
543,2025-04-09,Premium
544,2025-04-15,Corporate
545,2025-01-30,Premium
546,2025-01-17,Free
547,2025-04-23,Free
548,2025-03-03,Premium
549,2025-03-25,Premium
550,2025-04-22,Free
551,2025-03-27,Premium
552,2025-05-21,Free
553,2025-01-19,Free
554,2025-06-26,Free
555,2025-04-10,Free
556,2025-05-20,Free
557,2025-05-27,Premium
558,2025-03-17,Free
559,2025-01-09,Free
560,2025-01-28,Free
561,2025-05-08,Free
562,2025-02-21,Free
563,2025-03-24,Premium
564,2025-04-21,Premium
565,2025-05-24,Premium
566,2025-04-27,Premium
567,2025-03-10,Free
568,2025-04-09,Free
569,2025-05-20,Free
570,2025-01-25,Free
571,2025-06-29,Corporate
572,2025-05-03,Free
573,2025-02-22,Free
574,2025-05-31,Family
575,2025-05-24,Corporate
576,2025-02-26,Premium
577,2025-02-08,Free
578,2025-04-19,Free
579,2025-06-30,Free
580,2025-02-11,Free
581,2025-06-16,Free
582,2025-05-22,Free
583,2025-05-02,Corporate
584,2025-05-13,Free
585,2025-06-12,Premium
586,2025-03-16,Premium
587,2025-05-26,Free
588,2025-03-17,Premium
589,2025-01-09,Free
590,2025-03-15,Free
591,2025-05-25,Premium
592,2025-01-07,Free
593,2025-06-23,Corporate
594,2025-05-21,Free
595,2025-06-17,Premium
596,2025-06-19,Free
597,2025-05-17,Free
598,2025-06-27,Free
599,2025-01-27,Premium
600,2025-05-02,Family
601,2025-01-05,Family
602,2025-01-29,Free
603,2025-06-14,Premium
604,2025-06-15,Premium
605,2025-03-24,Premium
606,2025-05-16,Free
607,2025-04-19,Premium
608,2025-03-06,Family
609,2025-03-27,Free
610,2025-05-25,Family
611,2025-03-12,Premium
612,2025-02-14,Free
613,2025-05-12,Free
614,2025-02-05,Free
615,2025-03-11,Free
616,2025-06-08,Family
617,2025-01-19,Free
618,2025-04-18,Family
619,2025-06-16,Family
620,2025-04-01,Free
621,2025-03-31,Family
622,2025-01-19,Corporate
623,2025-02-08,Premium
624,2025-05-06,Premium
625,2025-06-22,Corporate
626,2025-05-21,Premium
627,2025-05-06,Free
628,2025-02-27,Family
629,2025-05-28,Premium
630,2025-03-02,Premium
631,2025-05-07,Free
632,2025-04-15,Premium
633,2025-06-16,Free
634,2025-01-01,Corporate
635,2025-05-11,Free
636,2025-04-02,Free
637,2025-04-23,Free
638,2025-06-02,Free
639,2025-02-25,Premium
640,2025-06-10,Family
641,2025-06-15,Family
642,2025-04-27,Free
643,2025-05-14,Free
644,2025-02-27,Family
645,2025-02-13,Corporate
646,2025-06-22,Free
647,2025-06-09,Free
648,2025-06-22,Free
649,2025-03-02,Family
650,2025-02-16,Premium
651,2025-05-29,Free
652,2025-03-21,Free
653,2025-04-28,Family
654,2025-06-13,Free
655,2025-05-27,Free
656,2025-01-20,Premium
657,2025-05-26,Free
658,2025-02-16,Free
659,2025-02-18,Family
660,2025-01-14,Family
661,2025-05-23,Family
662,2025-06-08,Family
663,2025-01-01,Premium
664,2025-04-27,Family
665,2025-02-23,Free
666,2025-04-28,Premium
667,2025-01-03,Corporate
668,2025-05-24,Free
669,2025-01-12,Free
670,2025-03-15,Free
671,2025-01-16,Free
672,2025-04-12,Free
673,2025-06-01,Family
674,2025-06-05,Corporate
675,2025-04-27,Free
676,2025-01-08,Free
677,2025-05-02,Free
678,2025-04-02,Family
679,2025-06-13,Free
680,2025-03-31,Free
681,2025-05-16,Free
682,2025-03-01,Free
683,2025-06-27,Free
684,2025-01-28,Family
685,2025-04-11,Premium
686,2025-02-10,Premium
687,2025-06-04,Free
688,2025-05-25,Premium
689,2025-06-10,Premium
690,2025-06-06,Free
691,2025-05-21,Premium
692,2025-02-15,Free
693,2025-02-04,Family
694,2025-05-14,Free
695,2025-03-23,Corporate
696,2025-04-25,Free
697,2025-02-16,Premium
698,2025-06-02,Premium
699,2025-01-10,Premium
700,2025-02-25,Free
701,2025-01-30,Free
702,2025-04-19,Premium
703,2025-01-05,Free
704,2025-04-29,Free
705,2025-02-02,Premium
706,2025-04-28,Free
707,2025-03-06,Free
708,2025-05-26,Free
709,2025-06-26,Free
710,2025-01-11,Premium
711,2025-03-26,Premium
712,2025-01-26,Family
713,2025-03-04,Corporate
714,2025-03-27,Free
715,2025-02-28,Free
716,2025-01-27,Free
717,2025-06-26,Free
718,2025-06-10,Corporate
719,2025-04-08,Free
720,2025-04-15,Free
721,2025-04-09,Free
722,2025-05-09,Premium
723,2025-05-29,Premium
724,2025-02-24,Free
725,2025-01-06,Corporate
726,2025-04-05,Free
727,2025-05-13,Free
728,2025-04-12,Family
729,2025-01-03,Free
730,2025-06-30,Family
731,2025-01-23,Corporate
732,2025-02-22,Premium
733,2025-06-14,Premium
734,2025-03-24,Free
735,2025-05-25,Corporate
736,2025-03-26,Free
737,2025-03-19,Premium
738,2025-04-20,Corporate
739,2025-01-01,Corporate
740,2025-02-20,Family
741,2025-06-22,Free
742,2025-01-04,Corporate
743,2025-04-23,Premium
744,2025-02-01,Corporate
745,2025-02-03,Premium
746,2025-04-02,Free
747,2025-04-05,Free
748,2025-03-13,Premium
749,2025-02-08,Premium
750,2025-06-03,Free
751,2025-06-11,Premium
752,2025-04-28,Free
753,2025-01-03,Family
754,2025-05-03,Free
755,2025-02-19,Free
756,2025-01-12,Free
757,2025-02-23,Free
758,2025-05-13,Free
759,2025-02-26,Free
760,2025-05-25,Free
761,2025-04-22,Corporate
762,2025-02-16,Family
763,2025-05-31,Free
764,2025-03-26,Corporate
765,2025-05-22,Free
766,2025-03-07,Premium
767,2025-03-16,Premium
768,2025-06-28,Free
769,2025-04-13,Free
770,2025-06-15,Free
771,2025-02-07,Free
772,2025-02-19,Premium
773,2025-04-08,Free
774,2025-03-23,Free
775,2025-01-30,Free
776,2025-03-20,Free
777,2025-04-01,Free
778,2025-06-28,Free
779,2025-02-21,Family
780,2025-06-15,Free
781,2025-03-20,Free
782,2025-01-30,Premium
783,2025-04-16,Free
784,2025-02-20,Premium
785,2025-03-22,Premium
786,2025-05-13,Free
787,2025-01-29,Free
788,2025-05-12,Free
789,2025-05-18,Free
790,2025-05-25,Free
791,2025-03-15,Free
792,2025-01-17,Free
793,2025-03-25,Free
794,2025-03-10,Premium
795,2025-02-03,Premium
796,2025-01-06,Free
797,2025-02-22,Free
798,2025-05-06,Family
799,2025-02-12,Premium
800,2025-04-25,Family
801,2025-04-21,Free
802,2025-05-31,Premium
803,2025-03-21,Free
804,2025-04-05,Free
805,2025-04-28,Free
806,2025-05-24,Free
807,2025-01-08,Free
808,2025-05-12,Free
809,2025-04-14,Premium
810,2025-05-12,Family
811,2025-01-25,Free
812,2025-04-06,Free
813,2025-06-04,Free
814,2025-04-03,Premium
815,2025-06-09,Free
816,2025-06-27,Corporate
817,2025-03-02,Free
818,2025-05-02,Free
819,2025-02-20,Premium
820,2025-05-27,Family
821,2025-01-21,Free
822,2025-01-05,Free
823,2025-04-02,Corporate
824,2025-06-19,Free
825,2025-03-02,Family
826,2025-01-22,Free
827,2025-05-29,Premium
828,2025-03-11,Premium
829,2025-01-01,Free
830,2025-05-13,Family
831,2025-01-12,Free
832,2025-03-31,Free
833,2025-02-15,Premium
834,2025-02-03,Free
835,2025-06-26,Premium
836,2025-03-19,Free
837,2025-02-14,Free
838,2025-06-04,Free
839,2025-03-14,Free
840,2025-01-26,Free
841,2025-02-16,Premium
842,2025-05-01,Family
843,2025-02-25,Family
844,2025-04-04,Free
845,2025-04-17,Free
846,2025-03-04,Free
847,2025-02-17,Free
848,2025-03-02,Free
849,2025-03-22,Free
850,2025-01-26,Free
851,2025-02-05,Corporate
852,2025-01-01,Free
853,2025-01-08,Free
854,2025-04-23,Free
855,2025-04-09,Free
856,2025-06-29,Family
857,2025-02-16,Free
858,2025-05-07,Free
859,2025-02-25,Free
860,2025-01-14,Free
861,2025-01-28,Free
862,2025-03-19,Family
863,2025-05-10,Family
864,2025-04-19,Premium
865,2025-06-03,Free
866,2025-01-14,Family
867,2025-02-25,Free
868,2025-04-25,Free
869,2025-01-07,Premium
870,2025-01-03,Free
871,2025-04-21,Free
872,2025-05-31,Premium
873,2025-04-17,Free
874,2025-01-18,Premium
875,2025-02-07,Free
876,2025-04-25,Family
877,2025-01-15,Corporate
878,2025-04-29,Family
879,2025-01-28,Free
880,2025-02-08,Free
881,2025-01-17,Free
882,2025-03-27,Free
883,2025-05-06,Free
884,2025-02-13,Premium
885,2025-01-25,Free
886,2025-05-25,Corporate
887,2025-01-13,Free
888,2025-01-25,Free
889,2025-03-09,Free
890,2025-05-18,Family
891,2025-03-08,Premium
892,2025-04-19,Family
893,2025-05-26,Family
894,2025-04-21,Free
895,2025-04-21,Free
896,2025-02-03,Free
897,2025-04-21,Premium
898,2025-01-08,Free
899,2025-06-17,Free
900,2025-04-23,Corporate
901,2025-03-24,Corporate
902,2025-02-11,Premium
903,2025-06-18,Premium
904,2025-04-11,Premium
905,2025-01-06,Free
906,2025-06-29,Free
907,2025-01-26,Premium
908,2025-03-05,Premium
909,2025-02-28,Free
910,2025-04-19,Corporate
911,2025-05-01,Free
912,2025-02-02,Free
913,2025-06-30,Premium
914,2025-05-30,Free
915,2025-01-21,Free
916,2025-03-11,Free
917,2025-04-22,Premium
918,2025-01-04,Free
919,2025-04-04,Premium
920,2025-03-16,Premium
921,2025-03-03,Free
922,2025-04-04,Corporate
923,2025-04-05,Free
924,2025-06-01,Corporate
925,2025-02-24,Free
926,2025-05-17,Corporate
927,2025-05-11,Free
928,2025-01-31,Free
929,2025-02-09,Free
930,2025-02-05,Free
931,2025-06-01,Premium
932,2025-01-06,Free
933,2025-03-07,Premium
934,2025-03-16,Free
935,2025-01-04,Free
936,2025-03-20,Premium
937,2025-05-14,Free
938,2025-04-28,Premium
939,2025-04-23,Premium
940,2025-04-04,Family
941,2025-06-28,Free
942,2025-03-03,Premium
943,2025-03-20,Corporate
944,2025-05-16,Premium
945,2025-01-26,Free
946,2025-06-28,Premium
947,2025-06-22,Premium
948,2025-02-13,Premium
949,2025-05-13,Free
950,2025-03-11,Free
951,2025-06-03,Family
952,2025-04-28,Free
953,2025-03-09,Premium
954,2025-01-19,Free
955,2025-01-20,Free
956,2025-04-23,Free
957,2025-05-20,Free
958,2025-02-16,Corporate
959,2025-01-01,Family
960,2025-03-31,Premium
961,2025-05-22,Free
962,2025-03-05,Premium
963,2025-02-07,Premium
964,2025-02-06,Premium
965,2025-05-06,Free
966,2025-05-19,Premium
967,2025-04-10,Premium
968,2025-03-18,Corporate
969,2025-01-03,Free
970,2025-06-10,Premium
971,2025-05-14,Premium
972,2025-06-27,Free
973,2025-01-10,Free
974,2025-01-05,Free
975,2025-05-31,Free
976,2025-05-18,Free
977,2025-06-21,Premium
978,2025-05-10,Premium
979,2025-01-13,Premium
980,2025-06-17,Corporate
981,2025-05-10,Free
982,2025-03-25,Free
983,2025-03-06,Premium
984,2025-03-04,Free
985,2025-04-11,Free
986,2025-03-14,Free
987,2025-01-17,Free
988,2025-01-09,Family
989,2025-05-23,Free
990,2025-06-01,Free
991,2025-02-07,Free
992,2025-06-12,Premium
993,2025-04-04,Free
994,2025-04-05,Premium
995,2025-02-18,Free
996,2025-03-10,Free
997,2025-03-03,Free
998,2025-06-27,Free
999,2025-03-19,Free
1000,2025-04-27,Free
1001,2025-04-30,Family
1002,2025-05-17,Free
1003,2025-06-11,Premium
1004,2025-03-17,Free
1005,2025-02-04,Free
1006,2025-01-01,Free
1007,2025-02-09,Family
1008,2025-03-05,Free
1009,2025-05-30,Free
1010,2025-03-01,Free
1011,2025-03-05,Free
1012,2025-04-03,Free
1013,2025-03-13,Premium
1014,2025-01-11,Free
1015,2025-04-15,Free
1016,2025-01-14,Premium
1017,2025-03-01,Free
1018,2025-01-30,Free
1019,2025-02-04,Free
1020,2025-06-14,Premium
1021,2025-01-05,Free
1022,2025-03-24,Free
1023,2025-05-03,Free
1024,2025-03-19,Premium
1025,2025-06-03,Free
1026,2025-03-03,Premium
1027,2025-05-12,Family
1028,2025-03-30,Premium
1029,2025-02-11,Free
1030,2025-03-30,Free
1031,2025-05-26,Free
1032,2025-02-09,Free
1033,2025-03-13,Free
1034,2025-02-08,Premium
1035,2025-04-14,Free
1036,2025-01-14,Free
1037,2025-02-01,Premium
1038,2025-06-28,Premium
1039,2025-05-05,Free
1040,2025-06-15,Family
1041,2025-04-07,Free
1042,2025-01-23,Premium
1043,2025-03-04,Premium
1044,2025-05-23,Premium
1045,2025-06-02,Premium
1046,2025-05-25,Free
1047,2025-02-22,Free
1048,2025-04-14,Premium
1049,2025-04-14,Free
1050,2025-06-28,Family
1051,2025-02-08,Free
1052,2025-06-28,Free
1053,2025-05-14,Free
1054,2025-03-08,Free
1055,2025-05-15,Premium
1056,2025-06-28,Premium
1057,2025-02-11,Premium
1058,2025-01-15,Family
1059,2025-04-21,Family
1060,2025-06-06,Family
1061,2025-02-02,Free
1062,2025-06-04,Premium
1063,2025-06-13,Free
1064,2025-06-06,Free
1065,2025-02-07,Premium
1066,2025-04-07,Free
1067,2025-06-04,Free
1068,2025-02-02,Free
1069,2025-03-27,Free
1070,2025-03-07,Family
1071,2025-01-10,Free
1072,2025-01-05,Free
1073,2025-05-03,Free
1074,2025-03-15,Free
1075,2025-04-07,Family
1076,2025-04-28,Free
1077,2025-02-07,Free
1078,2025-05-21,Premium
1079,2025-06-08,Corporate
1080,2025-02-16,Premium
1081,2025-04-19,Family
1082,2025-06-29,Free
1083,2025-01-15,Free
1084,2025-06-06,Free
1085,2025-05-16,Family
1086,2025-01-05,Free
1087,2025-06-06,Free
1088,2025-02-16,Free
1089,2025-03-09,Free
1090,2025-03-17,Free
1091,2025-06-22,Corporate
1092,2025-05-10,Free
1093,2025-06-04,Premium
1094,2025-04-05,Premium
1095,2025-04-25,Free
1096,2025-06-13,Free
1097,2025-02-05,Free
1098,2025-01-26,Free
1099,2025-02-12,Premium
1100,2025-01-27,Free
1101,2025-03-10,Free
1102,2025-05-28,Free
1103,2025-01-11,Corporate
1104,2025-03-15,Family
1105,2025-04-14,Family
1106,2025-02-07,Premium
1107,2025-05-14,Free
1108,2025-01-23,Premium
1109,2025-02-16,Free
1110,2025-03-31,Premium
1111,2025-02-15,Premium
1112,2025-04-17,Free
1113,2025-05-20,Premium
1114,2025-05-21,Family
1115,2025-04-14,Free
1116,2025-04-21,Family
1117,2025-04-14,Free
